name,id_kabupaten_kota,provinsi_id
Kab. Aceh Selatan,1101,Aceh
Kab. Aceh Tenggara,1102,Aceh
Kab. Aceh Timur,1103,Aceh
Kab. Aceh Tengah,1104,Aceh
Kab. Aceh Barat,1105,Aceh
Kab. Aceh Besar,1106,Aceh
Kab. Pidie,1107,Aceh
Kab. Aceh Utara,1108,Aceh
Kab. Simeulue,1109,Aceh
Kab. Aceh Singkil,1110,Aceh
Kab. Bireuen,1111,Aceh
Kab. Aceh Barat Daya,1112,Aceh
Kab. Gayo Lues,1113,Aceh
Kab. Aceh Jaya,1114,Aceh
Kab. Nagan Raya,1115,Aceh
Kab. Aceh Tamiang,1116,Aceh
Kab. Bener Meriah,1117,Aceh
Kab. Pidie Jaya,1118,Aceh
Kota Banda Aceh,1171,Aceh
Kota Sabang,1172,Aceh
Kota Lhokseumawe,1173,Aceh
Kota Langsa,1174,Aceh
Kota Subulussalam,1175,Aceh
Kab. Tapanuli Tengah,1201,Sumatera Utara
Kab. Tapanuli Utara,1202,Sumatera Utara
Kab. Tapanuli Selatan,1203,Sumatera Utara
Kab. Nias,1204,Sumatera Utara
Kab. Langkat,1205,Sumatera Utara
Kab. Karo,1206,Sumatera Utara
Kab. Deli Serdang,1207,Sumatera Utara
Kab. Simalungun,1208,Sumatera Utara
Kab. Asahan,1209,Sumatera Utara
Kab. Labuhanbatu,1210,Sumatera Utara
Kab. Dairi,1211,Sumatera Utara
Kab. Toba,1212,Sumatera Utara
Kab. Mandailing Natal,1213,Sumatera Utara
Kab. Nias Selatan,1214,Sumatera Utara
Kab. Pakpak Bharat,1215,Sumatera Utara
Kab. Humbang Hasundutan,1216,Sumatera Utara
Kab. Samosir,1217,Sumatera Utara
Kab. Serdang Bedagai,1218,Sumatera Utara
Kab. Batu Bara,1219,Sumatera Utara
Kab. Padang Lawas Utara,1220,Sumatera Utara
Kab. Padang Lawas,1221,Sumatera Utara
Kab. Labuhanbatu Selatan,1222,Sumatera Utara
Kab. Labuhanbatu Utara,1223,Sumatera Utara
Kab. Nias Utara,1224,Sumatera Utara
Kab. Nias Barat,1225,Sumatera Utara
Kota Medan,1271,Sumatera Utara
Kota Pematangsiantar,1272,Sumatera Utara
Kota Sibolga,1273,Sumatera Utara
Kota Tanjung Balai,1274,Sumatera Utara
Kota Binjai,1275,Sumatera Utara
Kota Tebing Tinggi,1276,Sumatera Utara
