name,id_kecamatan,kabupaten_kota_id
Bakongan,110101,Kab. Aceh Selatan
Kluet Utara,110102,Kab. Aceh Selatan
Kluet Selatan,110103,Kab. Aceh Selatan
Labuhanhaji,110104,Kab. Aceh Selatan
Meukek,110105,Kab. Aceh Selatan
Samadua,110106,Kab. Aceh Selatan
Sawang,110107,Kab. Aceh Selatan
Tapaktuan,110108,Kab. Aceh Selatan
Trumon,110109,Kab. Aceh Selatan
Pasi Raja,110110,Kab. Aceh Selatan
Labuhan Haji Timur,110111,Kab. Aceh Selatan
Labuhan Haji Barat,110112,Kab. Aceh Selatan
Kluet Tengah,110113,Kab. Aceh Selatan
Kluet Timur,110114,Kab. Aceh Selatan
Bakongan Timur,110115,Kab. Aceh Selatan
Trumon Timur,110116,Kab. Aceh Selatan
Kota Bahagia,110117,Kab. Aceh Selatan
Trumon Tengah,110118,Kab. Aceh Selatan
Lawe Alas,110201,Kab. Aceh Tenggara
Lawe Sigala-Gala,110202,Kab. Aceh Tenggara
Bambel,110203,Kab. Aceh Tenggara
Babussalam,110204,Kab. Aceh Tenggara
Badar,110205,Kab. Aceh Tenggara
Babul Makmur,110206,Kab. Aceh Tenggara
Darul Hasanah,110207,Kab. Aceh Tenggara
Lawe Bulan,110208,Kab. Aceh Tenggara
Bukit Tusam,110209,Kab. Aceh Tenggara
Semadam,110210,Kab. Aceh Tenggara
Babul Rahmah,110211,Kab. Aceh Tenggara
Ketambe,110212,Kab. Aceh Tenggara
Deleng Pokhkisen,110213,Kab. Aceh Tenggara
Lawe Sumur,110214,Kab. Aceh Tenggara
Tanoh Alas,110215,Kab. Aceh Tenggara
Leuser,110216,Kab. Aceh Tenggara
Darul Aman,110301,Kab. Aceh Timur
Julok,110302,Kab. Aceh Timur
Idi Rayeuk,110303,Kab. Aceh Timur
Birem Bayeun,110304,Kab. Aceh Timur
Serbajadi,110305,Kab. Aceh Timur
Nurussalam,110306,Kab. Aceh Timur
Peureulak,110307,Kab. Aceh Timur
Rantau Selamat,110308,Kab. Aceh Timur
Simpang Ulim,110309,Kab. Aceh Timur
Ranto Peureulak,110310,Kab. Aceh Timur
Pante Bidari,110311,Kab. Aceh Timur
Madat,110312,Kab. Aceh Timur
Indra Makmu,110313,Kab. Aceh Timur
Idi Tunong,110314,Kab. Aceh Timur
